accepted_step,timestamp,keyframe_count,imu_valid,imu_sample_count,accel_norm_mps2,accel_norm_error_mps2,accel_std_norm_mps2,ground_valid,ground_quality,localmap_ground_valid,localmap_ground_corr,current_ground_L_x,current_ground_L_y,current_ground_L_z,current_ground_W_x,current_ground_W_y,current_ground_W_z,localmap_ground_L_x,localmap_ground_L_y,localmap_ground_L_z,localmap_ground_W_x,localmap_ground_W_y,localmap_ground_W_z,imu_up_L_x,imu_up_L_y,imu_up_L_z,imu_up_W_x,imu_up_W_y,imu_up_W_z,slam_up_L_x,slam_up_L_y,slam_up_L_z,gravity_ref_valid,gravity_ref_W_x,gravity_ref_W_y,gravity_ref_W_z,ground_to_map_deg,slam_to_imu_gravity_deg,frontend_gravity_drift_deg,ground_to_imu_gravity_deg,localmap_to_imu_gravity_deg,ground_to_slam_up_deg,localmap_to_slam_up_deg,current_ground_to_gravity_ref_deg,localmap_ground_to_gravity_ref_deg,world_roll_deg,world_pitch_deg,world_yaw_deg,world_x_m,world_y_m,world_z_m
30,1782712603.438954353,1,1,21,9.807372625,0.000722625,0.042285211,1,0.764608772,1,92,-0.005665157,0.022524693,0.999730236,-0.009751777,0.025984780,0.999614773,-0.005243096,0.018151711,0.999821497,-0.009346761,0.021610568,0.999722772,-0.006285842,0.007595813,0.999951395,-0.010430240,0.011059212,0.999884445,0.004186681,-0.003423920,0.999985374,1,-0.006585694,0.007816696,0.999947763,0.251772173,0.871035075,0.288184130,0.856202509,0.607800578,1.590413418,1.349167881,1.056829736,0.806117764,-0.196178295,-0.239879872,-0.217420819,-0.004298537,0.005753704,-0.007914487
31,1782712603.538742781,1,1,21,9.808097314,0.001447314,0.039459207,1,0.733499371,1,86,0.006641885,0.023097149,0.999711162,0.012355328,0.021038058,0.999702329,-0.006784210,0.011238233,0.999913835,-0.001064891,0.009173504,0.999957356,-0.006210153,0.007458986,0.999952898,-0.000489188,0.005394408,0.999985330,-0.005723165,0.002064435,0.999981492,1,-0.006585694,0.007816696,0.999947763,1.026448048,0.310346582,0.375872676,1.159867375,0.219030304,1.398031314,0.529140050,1.323582971,0.325732248,0.118285410,0.327915003,0.022390935,-0.013613139,0.012201829,0.010134028
32,1782712603.639127731,1,1,21,9.803973762,0.002676238,0.038759586,1,0.756478642,1,107,-0.003837866,0.021321659,0.999765301,-0.007059504,0.023762953,0.999692696,-0.006113975,0.011976714,0.999909585,-0.009352098,0.014422287,0.999852257,-0.006344771,0.007534016,0.999951490,-0.009590650,0.009980105,0.999904204,0.003263167,-0.002429826,0.999991724,1,-0.006585694,0.007816696,0.999947763,0.551143142,0.793076431,0.212164725,0.803003090,0.254902609,1.420473742,0.984909621,0.914182970,0.410360037,-0.139219659,-0.186966022,-0.097830229,0.005201414,0.003471855,-0.005689148
33,1782712603.738974810,1,1,21,9.807786011,0.001136011,0.040154210,1,0.772071506,1,86,-0.009587569,0.021083937,0.999731737,-0.005108282,0.019550053,0.999795830,-0.006922673,0.008662901,0.999938513,-0.002441421,0.007128961,0.999971608,-0.006487843,0.007425807,0.999951381,-0.002006431,0.005891890,0.999980630,-0.004482065,0.001533782,0.999988779,1,-0.006585694,0.007816696,0.999947763,0.727969310,0.356620230,0.284614472,0.802558792,0.075134916,1.157820979,0.431752104,0.677640074,0.240700735,0.087880159,0.256804243,0.005308327,-0.008942866,0.007047883,0.010978654
34,1782712603.838785648,1,1,23,9.804467475,0.002182525,0.038681720,1,0.829375529,1,108,-0.003811354,0.021003492,0.999772137,-0.006448436,0.023559214,0.999701646,-0.011424284,0.012928823,0.999851155,-0.014071407,0.015494026,0.999780941,-0.006499151,0.007593022,0.999950052,-0.009153076,0.010152516,0.999906569,0.002666467,-0.002548511,0.999993197,1,-0.006585694,0.007816696,0.999947763,0.635865662,0.783223101,0.198885003,0.783716471,0.416086193,1.399633493,1.199294317,0.902133634,0.614445418,-0.146019619,-0.152777497,-0.069597255,-0.000721416,-0.003136066,-0.004579155
35,1782712604.039044857,1,1,21,9.806454418,0.000195582,0.040091385,1,0.711090839,1,79,-0.011202845,0.018717287,0.999762051,-0.010703814,0.020381588,0.999734975,-0.008282771,0.008893133,0.999926151,-0.007794069,0.010554629,0.999913922,-0.006496204,0.007629183,0.999949796,-0.006008831,0.009288826,0.999938804,-0.000477559,-0.001653361,0.999998519,1,-0.006585694,0.007816696,0.999947763,0.587299016,0.633871938,0.090592893,0.690254902,0.125397309,1.319140498,0.751771256,0.757699031,0.171481951,-0.094730673,0.027362121,-0.060738968,0.000378496,-0.002904202,0.002248939
36,1782712604.138948917,1,1,21,9.807503349,0.000853349,0.039064278,1,0.732932859,1,107,-0.006385382,0.020741313,0.999764485,-0.006334026,0.020139814,0.999777109,-0.008187560,0.016474498,0.999830763,-0.008135744,0.015872767,0.999840920,-0.006206884,0.007258620,0.999954392,-0.006154076,0.006657028,0.999958905,-0.000053523,0.000600959,0.999999818,1,-0.006585694,0.007816696,0.999947763,0.265409891,0.519439027,0.070899866,0.772651590,0.540136741,1.209739360,1.022001278,0.706282021,0.470086394,0.034432398,0.003066661,0.006133492,0.007645176,0.001031588,0.000899885
37,1782712604.238780260,1,1,21,9.803060207,0.003589793,0.038548197,1,0.789807970,1,93,0.000092139,0.021595337,0.999766789,0.002613608,0.021965982,0.999755302,-0.004771232,0.010400215,0.999934533,-0.002268260,0.010779169,0.999939330,-0.006446491,0.007497225,0.999951116,-0.003948380,0.007879025,0.999961165,-0.002484892,-0.000375124,0.999996842,1,-0.006585694,0.007816696,0.999947763,0.699414959,0.504953495,0.151151146,0.890482749,0.192040246,1.267539032,0.631139447,0.967048960,0.300005727,-0.021493109,0.142373949,-0.096962273,-0.000162546,0.008982641,0.004812276
38,1782712604.339046001,1,1,21,9.808353174,0.001703174,0.038900286,1,0.778139754,1,91,-0.001783523,0.021886470,0.999758872,-0.004679543,0.021498592,0.999757927,-0.004248328,0.011758713,0.999921839,-0.007140540,0.011369737,0.999909867,-0.006378673,0.007592455,0.999950832,-0.009269203,0.007202572,0.999931100,0.002887661,0.000386002,0.999995756,1,-0.006585694,0.007816696,0.999947763,0.597291034,0.672588755,0.157731557,0.860344105,0.268110946,1.260722919,0.769277862,0.791567162,0.206053051,0.022116391,-0.165450994,0.024090282,0.004531172,-0.000818884,-0.004481759
39,1782712604.438894987,1,1,21,9.810844420,0.004194420,0.043273861,1,0.760352050,1,94,0.004932207,0.021937735,0.999747173,0.008688164,0.022068473,0.999718710,-0.004827657,0.010105403,0.999937285,-0.001095291,0.010256311,0.999946803,-0.006302438,0.007521696,0.999951851,-0.002575328,0.007675651,0.999967225,-0.003711432,-0.000148637,0.999993102,1,-0.006585694,0.007816696,0.999947763,0.878887728,0.463881339,0.229921931,1.047260649,0.170456067,1.359018195,0.590995228,1.197018691,0.344234439,-0.008516325,0.212649882,-0.118108470,-0.003737750,0.011640347,0.007455588
