accepted_step,timestamp,dt_from_previous_s,previous_world_z,current_world_z,previous_roll_deg,previous_pitch_deg,previous_yaw_deg,local_dx,local_dy,local_dz,pitch_step_m,roll_step_m,local_z_step_m,world_z_step_m,reconstructed_step_m,step_closure_error_m,cumulative_pitch_m,cumulative_roll_m,cumulative_local_z_m,cumulative_world_z_m,cumulative_sum_m,cumulative_closure_error_m,max_abs_step_closure_error_m
54,1782712606.038896799,0.099792719,0.008636822,-0.004549737,-0.045048816,0.128065516,-0.100774965,0.010994411,-0.005028598,-0.013165975,-0.000024574,0.000003954,-0.013165938,-0.013186559,-0.013186559,-0.000000000,-0.000935922,-0.000632534,-0.002981280,-0.004549737,-0.004549737,-0.000000000,0.000000000
55,1782712606.138891697,0.099994898,-0.004549737,0.008126142,0.020629916,-0.130974357,-0.052975943,-0.011288431,0.004821547,0.012699982,-0.000025805,0.000001736,0.012699948,0.012675879,0.012675879,0.000000000,-0.000961727,-0.000630798,0.009718667,0.008126142,0.008126142,0.000000000,0.000000000
56,1782712606.238712549,0.099820852,0.008126142,-0.004491751,-0.038600317,0.131767920,-0.160497177,0.006649775,-0.006033793,-0.012606701,-0.000015293,0.000004065,-0.012606665,-0.012617893,-0.012617893,-0.000000000,-0.000977020,-0.000626733,-0.002887997,-0.004491751,-0.004491751,-0.000000000,0.000000000
57,1782712606.338676453,0.099963903,-0.004491751,-0.000349144,0.090952460,-0.083265334,0.069085580,-0.001292711,0.008287243,0.004131340,-0.000001879,0.000013155,0.004131330,0.004142607,0.004142607,0.000000000,-0.000978899,-0.000613578,0.001243333,-0.000349144,-0.000349144,0.000000000,0.000000000
58,1782712606.438875198,0.100198746,-0.000349144,-0.009301607,0.025051303,0.147146610,-0.088506134,-0.004098864,-0.009772849,-0.008958747,0.000010527,-0.000004273,-0.008958717,-0.008952463,-0.008952463,-0.000000000,-0.000968372,-0.000617851,-0.007715384,-0.009301607,-0.009301607,-0.000000000,0.000000000
59,1782712606.539024353,0.100149155,-0.009301607,0.000202331,0.086301680,-0.180245300,0.097871133,-0.005942007,0.004876214,0.009515343,-0.000018693,0.000007345,0.009515286,0.009503938,0.009503938,0.000000000,-0.000987065,-0.000610506,0.001799902,0.000202331,0.000202331,0.000000000,0.000000000
60,1782712606.639030457,0.100006104,0.000202331,-0.019924050,0.051968691,0.146553590,0.064402799,0.012667221,0.003987993,-0.020097671,-0.000032401,0.000003617,-0.020097597,-0.020126381,-0.020126381,-0.000000000,-0.001019465,-0.000606889,-0.018297696,-0.019924050,-0.019924050,-0.000000000,0.000000000
61,1782712606.738830805,0.099800348,-0.019924050,0.001920810,0.093587562,-0.266091037,-0.007769096,-0.012126143,-0.003416079,0.021907021,-0.000056316,-0.000005580,0.021906756,0.021844861,0.021844861,0.000000000,-0.001075781,-0.000612469,0.003609060,0.001920810,0.001920810,0.000000000,0.000000000
62,1782712606.839066982,0.100236177,0.001920810,-0.019652047,0.052945705,0.194818125,0.032773379,0.011083587,0.004540968,-0.021539501,-0.000037687,0.000004196,-0.021539367,-0.021572857,-0.021572857,-0.000000000,-0.001113468,-0.000608273,-0.017930307,-0.019652047,-0.019652047,-0.000000000,0.000000000
63,1782712606.938878536,0.099811554,-0.019652047,0.003091855,0.018511008,-0.281721624,-0.025801661,-0.005978488,-0.007105894,0.022775870,-0.000029396,-0.000002296,0.022775593,0.022743902,0.022743902,0.000000000,-0.001142863,-0.000610568,0.004845287,0.003091855,0.003091855,0.000000000,0.000000000
64,1782712607.038862228,0.099983692,0.003091855,-0.018412046,-0.133256111,0.042885660,-0.099925413,0.012583498,0.011832692,-0.021467026,-0.000009419,-0.000027520,-0.021466962,-0.021503901,-0.021503901,-0.000000000,-0.001152282,-0.000638088,-0.016621676,-0.018412046,-0.018412046,-0.000000000,0.000000000
65,1782712607.138787270,0.099925041,-0.018412046,0.005707763,0.054106754,-0.266519690,-0.154649725,-0.023276237,-0.011326503,0.024239050,-0.000108272,-0.000010696,0.024238777,0.024119809,0.024119809,0.000000000,-0.001260555,-0.000648784,0.007617102,0.005707763,0.005707763,0.000000000,0.000000000
66,1782712607.238981724,0.100194454,0.005707763,-0.005203122,-0.074388469,0.119634078,0.006190477,0.020314680,0.005066521,-0.010861922,-0.000042417,-0.000006578,-0.010861890,-0.010910885,-0.010910885,-0.000000000,-0.001302972,-0.000655362,-0.003244788,-0.005203122,-0.005203122,0.000000000,0.000000000
67,1782712607.338856220,0.099874496,-0.005203122,0.010052977,0.026482122,-0.111555586,-0.068099037,-0.018462683,-0.006374603,0.015295023,-0.000035947,-0.000002946,0.015294992,0.015256099,0.015256099,0.000000000,-0.001338919,-0.000658309,0.012050204,0.010052977,0.010052977,0.000000000,0.000000000
68,1782712607.438789845,0.099933624,0.010052977,0.001416244,-0.098184383,0.170845396,-0.096993347,0.017419364,0.001484091,-0.008582299,-0.000051941,-0.000002543,-0.008582248,-0.008636732,-0.008636732,-0.000000000,-0.001390860,-0.000660852,0.003467956,0.001416244,0.001416244,0.000000000,0.000000000
69,1782712607.538943291,0.100153446,0.001416244,0.008916127,-0.024499790,-0.047251108,-0.084702336,-0.015896560,-0.001608661,0.007512308,-0.000013110,0.000000688,0.007512304,0.007499883,0.007499883,0.000000000,-0.001403970,-0.000660164,0.010980261,0.008916127,0.008916127,0.000000000,0.000000000
70,1782712607.638903379,0.099960089,0.008916127,0.004124763,-0.084556755,0.129571503,-0.080589679,0.017884808,0.006624169,-0.004741160,-0.000040446,-0.000009776,-0.004741142,-0.004791364,-0.004791364,-0.000000000,-0.001444415,-0.000669940,0.006239118,0.004124763,0.004124763,0.000000000,0.000000000
71,1782712607.739144325,0.100240946,0.004124763,0.003623071,-0.004524517,0.060020464,-0.071810054,-0.003375005,-0.010375455,-0.000506047,0.000003536,0.000000819,-0.000506047,-0.000501692,-0.000501692,-0.000000000,-0.001440880,-0.000669120,0.005733072,0.003623071,0.003623071,0.000000000,0.000000000
72,1782712607.838884115,0.099739790,0.003623071,0.010771061,-0.056169968,0.013277595,-0.034525446,-0.009310601,0.009408274,0.007155059,0.000002158,-0.000009223,0.007155055,0.007147990,0.007147990,0.000000000,-0.001438722,-0.000678344,0.012888127,0.010771061,0.010771061,0.000000000,0.000000000
73,1782712607.939229965,0.100345850,0.010771061,0.001213030,0.006451161,0.184956243,-0.023917853,0.002442312,0.002232998,-0.009550449,-0.000007884,0.000000251,-0.009550399,-0.009558031,-0.009558031,-0.000000000,-0.001446606,-0.000678092,0.003337728,0.001213030,0.001213030,0.000000000,0.000000000
74,1782712608.039166451,0.099936485,0.001213030,0.006158513,0.093894364,0.057052109,-0.050190600,-0.002509304,-0.007538504,0.004955348,0.000002499,-0.000012354,0.004955339,0.004945484,0.004945484,0.000000000,-0.001444108,-0.000690446,0.008293067,0.006158513,0.006158513,0.000000000,0.000000000
75,1782712608.139215231,0.100048780,0.006158513,0.000387452,0.011204452,0.147907957,0.021983421,-0.000020508,0.007098052,-0.005772521,0.000000053,0.000001388,-0.005772502,-0.005771061,-0.005771061,-0.000000000,-0.001444055,-0.000689058,0.002520565,0.000387452,0.000387452,0.000000000,0.000000000
76,1782712608.239538431,0.100323200,0.000387452,-0.000401584,0.154910553,0.016472875,0.036087750,0.004884144,-0.013722942,-0.000750532,-0.000001404,-0.000037103,-0.000750529,-0.000789036,-0.000789036,-0.000000000,-0.001445459,-0.000726161,0.001770036,-0.000401584,-0.000401584,0.000000000,0.000000000
77,1782712608.339005470,0.099467039,-0.000401584,-0.005248132,-0.029206377,0.052959999,0.080253224,-0.005159099,0.019348317,-0.004841456,0.000004769,-0.000009863,-0.004841454,-0.004846548,-0.004846548,-0.000000000,-0.001440690,-0.000736024,-0.003071418,-0.005248132,-0.005248132,-0.000000000,0.000000000
78,1782712608.439041615,0.100036144,-0.005248132,-0.010640836,0.140873951,-0.056151186,-0.043923660,0.013320265,-0.022023420,-0.005351628,0.000013054,-0.000054149,-0.005351609,-0.005392704,-0.005392704,-0.000000000,-0.001427636,-0.000790173,-0.008423027,-0.010640836,-0.010640836,-0.000000000,0.000000000
