current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
81,30,7,2,0.690972222,0.518437612,44.731958907,4.256933714,-0.419268966,13.539943055,2.124743955,-0.293551944,31.192015852,2.132189759,-0.125717022,31.265058626,29.016860911,-1.537884770,0.200753110,-0.442964081,0.978671991,5.459408930,-2.126138946,1.161598394,-0.373913284,4.663625995,-3.948839236,9.921760247,30.179965330,-8.121071387,-0.849783398,-5.415071011,4.535540680,-4.862542278,31.265064203,8.450417673,31.265058626,8.450417673,0
82,30,7,2,0.618296530,0.503446365,45.326444440,4.317301627,-0.442126242,13.495082949,3.013071470,-0.301115054,31.831361491,1.304230157,-0.141011187,31.858381548,29.613901046,-1.569994065,0.191168797,-0.607889975,0.890814821,-1.276050348,-2.033321449,2.046149556,-0.386142655,2.385905536,0.213635911,-9.343332527,31.812102378,1.597390996,0.629983766,-3.000525172,1.013425525,8.031992506,31.858411687,8.657515613,31.858381548,8.657515613,0
83,2,7,0,0.694883721,0.549368695,45.485304951,4.264884232,-0.452968178,1.189857841,1.242993951,-0.058269899,44.295447110,3.021890281,-0.394698278,44.400160386,44.637700334,1.137532284,0.256579822,-0.511746903,0.977827527,-1.917312655,0.238649570,1.157464082,-0.056687352,4.592016381,2.053446932,-2.141830801,44.329065440,1.786570923,1.765522889,-5.112554458,-1.054183021,0.310012751,44.400168350,5.226436940,44.400160386,5.226436940,0
85,8,8,0,0.642479214,0.539770736,46.195245337,4.158143472,-0.456272352,1.699597955,0.582313597,0.065333381,44.495647382,3.575829874,-0.521605733,44.642146765,42.121270786,-2.400571977,-0.438032611,-0.084074473,1.806111748,-13.591606044,-2.423568821,0.508031269,0.029470735,2.822756046,3.001989218,-13.046804055,44.015669912,7.304205537,1.482248591,-2.878839808,-1.221128323,-0.485103603,44.642218551,3.169143366,44.642146765,3.169143366,0
86,0,8,0,0.610612855,0.573804650,46.811097964,4.102027600,-0.472218766,1.614934444,0.301283091,-0.362250686,45.196163520,3.800744508,-0.109968080,45.355825962,46.811097964,4.102027600,-0.472218766,-0.192298043,2.425264408,-4.477938896,1.614934444,0.301283091,-0.362250686,2.982306053,-2.569355666,-9.532442076,43.893656437,11.109558564,-2.661391020,-2.948306194,5.241304167,4.803190069,45.355907763,7.778356064,45.355825962,7.778356064,0
87,36,8,3,0.546626232,0.563666863,47.425582729,4.034909649,-0.478153444,14.661246704,0.088151882,0.020987729,32.764336025,3.946757766,-0.499141173,33.004965595,28.359272883,-1.957261553,0.256003365,0.467747178,0.758893887,-13.483490492,-4.627240703,-0.911843775,-0.097234473,-0.477848730,2.284725184,-3.119510778,32.954448691,0.737245379,1.674524510,1.349012569,-1.402533729,-10.378487839,33.005200373,10.542634848,33.004965595,10.542634848,0
88,37,8,3,0.568793236,0.585626658,48.203087746,3.962438374,-0.494739590,15.598873145,-0.081213654,0.157119600,32.604214601,4.043652028,-0.651859190,32.860475528,28.592041021,-1.090700941,0.220404157,0.422538296,-0.012820109,-10.842938827,-4.267110224,-1.333724142,0.053158640,-1.211079600,3.861340840,1.984060736,32.762168904,-0.944920730,2.359466795,2.463936240,-3.507405563,-12.930674616,32.860609703,13.547848356,32.860475528,13.547848356,0
89,37,8,3,0.550988142,0.580575277,48.513235343,3.881863452,-0.498121391,15.864413296,-0.111109893,0.227626302,32.648822047,3.992973345,-0.725747693,32.900093113,28.890768137,-1.206618507,0.224933502,0.560049309,0.873749878,-16.873090238,-4.008656303,-1.393854374,0.130375722,-1.785205853,5.746780501,-3.126155365,32.665837804,1.874765990,3.442536239,3.666685510,-4.280434040,-13.929033993,32.900193961,14.893166996,32.900093113,14.893166996,0
90,37,8,3,0.538970588,0.599231048,49.129624977,3.790305550,-0.515747454,16.146955000,-0.208269059,0.137298203,32.982669978,3.998574608,-0.653045656,33.230582095,29.492668460,-1.368920178,0.222964280,0.873670463,0.673195617,-14.161687271,-3.737090324,-1.523393172,0.047306460,-1.353037521,5.885139549,-1.502255830,33.021326978,0.940794963,3.603574891,3.490790136,-4.769580440,-12.822519509,33.230691875,13.981236891,33.230582095,13.981236891,0
91,36,8,3,0.440984794,0.612148948,49.557329847,3.628237660,-0.507101576,20.821322564,4.138158186,-0.233306293,28.736007283,-0.509920526,-0.273795283,28.741835317,30.405243023,-2.681133081,0.280129625,1.440061278,0.697951855,-23.439889622,2.078049850,2.161605236,-0.179337346,-4.265235147,0.208408296,-109.015923341,-4.653066830,28.247816354,2.550497892,1.561806588,-3.570615363,85.565211291,28.741871881,85.685372466,28.741835317,85.685372466,0
92,36,8,3,0.475197699,0.598707056,50.143570025,3.487154635,-0.517329897,20.504820582,3.637248881,0.185719897,29.638749443,-0.150094245,-0.703049793,29.647466601,30.963538309,-2.909112872,0.284392725,1.248283864,-0.200507944,-23.055856456,1.678852347,1.714354199,0.229654644,-8.427614624,0.656345135,-108.795436498,-5.058620930,28.897779079,4.278239378,1.224413420,-8.653420312,85.693070683,29.647506026,86.143606653,29.647466601,86.143606653,0
